diagnostic_id,diagnostic_type,severity,scan_record_id,field,evidence,limitation
A003-D001,critical_unknown_propagated,info,,filter_state,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D002,critical_unknown_propagated,info,,higher_order_suppression_state,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D003,critical_unknown_propagated,info,,attenuation_state,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D004,critical_unknown_propagated,info,,monochromator_reflection,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D005,critical_unknown_propagated,info,,analyzer_reflection,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D006,critical_unknown_propagated,info,,detector_hardware_identity,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D007,critical_unknown_propagated,info,,monitor_hardware_identity,A002 canonical metadata: unresolved or not recorded for every scan.,Missingness is not equality evidence; blocks supported status.
A003-D008,relevant_unknown_propagated,info,,monochromator_mosaic,A002 canonical metadata: unverified or unresolved for every scan.,Not included in frozen identity or verified equality evidence.
A003-D009,relevant_unknown_propagated,info,,analyzer_mosaic,A002 canonical metadata: unverified or unresolved for every scan.,Not included in frozen identity or verified equality evidence.
A003-D010,relevant_unknown_propagated,info,,unresolved_focusing_aperture_configuration_fields,A002 canonical metadata: unverified or unresolved for every scan.,Not included in frozen identity or verified equality evidence.
A003-D011,relevant_unknown_propagated,info,,other_unresolved_beam_path_configuration_fields,A002 canonical metadata: unverified or unresolved for every scan.,Not included in frozen identity or verified equality evidence.
A003-D012,explicit_reconfiguration_event_census,info,,canonical_header_mappings,All reviewed header keys checked; command/builtin_command empty; no dedicated verified reconfiguration event recorded.,"No event inferred from titles, chronology gaps, state/coordinate changes or unverified motor labels."
A003-D013,unresolved_configuration_field_presence,info,,ahfocus,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D014,unresolved_configuration_field_presence,info,,avfocus,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D015,unresolved_configuration_field_presence,info,,pghf,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D016,unresolved_configuration_field_presence,info,,pgvf,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D017,unresolved_configuration_field_presence,info,,cuhf,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
A003-D018,unresolved_configuration_field_presence,info,,cuvf,Declared in 201 canonical header column lists.,"Candidate for future semantic verification only; no value analysis, boundary inference or v1 inclusion."
